feature_name,data_type,is_numeric,used_for_training
year,int16,True,True
quarter_num,int8,True,True
resale_price,float32,True,True
town,object,False,True
flat_type,object,False,True
flat_model,object,False,True
storey_range,object,False,True
floor_area_sqm,float32,True,True
lease_commence_date,int16,True,True
nearest_mrt_dist_m,float32,True,True
nearest_bus_dist_m,float32,True,True
nearest_mall_dist_m,float32,True,True
nearest_school_dist_m,float32,True,True
nearest_park_dist_m,float32,True,True
crime_rate_per_1000,float32,True,True
nearest_mrt_exit,object,False,False
latitude,float32,True,False
longitude,float32,True,False
remaining_lease_years,int16,True,True
remaining_lease_months,int16,True,True
nearest_school_type_encoded,float32,True,True
